sample,n_psms
Pool_DDA_R1,20885
Pool_DDA_R2,22281
Pool_DDA_R3,22594
Pool_DDA_R4,22562
Pool_DDA_R5,21647
Pool_DDA_R6,21731
Pool_DDA_R7,21875
Pool_DDA_R8,21992
